"nom_eni","nom_eni_fusion_trait","NOM_VALIDE","CD_NOM","CD_REF","GROUP2_INPN","ORDRE","FAMILLE","SOUS_FAMILLE","TRIBU","nom_eni_syn"
"Acer campestre","Acer campestre","Acer campestre L., 1753",79734,79734,"Angiospermes","Sapindales","Sapindaceae","Hippocastanoideae","Acereae","Acer campestre"
"Acer pseudoplatanus","Acer pseudoplatanus","Acer pseudoplatanus L., 1753",79783,79783,"Angiospermes","Sapindales","Sapindaceae","Hippocastanoideae","Acereae","Acer pseudoplatanus"
"Achillea millefolium","Achillea millefolium","Achillea millefolium L., 1753",79908,79908,"Angiospermes","Asterales","Asteraceae","Asteroideae","Anthemideae","Achillea millefolium"
"Achillea ligustica","Achillea ligustica","Achillea ligustica All., 1773",79903,79903,"Angiospermes","Asterales","Asteraceae","Asteroideae","Anthemideae","Achillea ligustica"
"Aegilops geniculata","Aegilops geniculata","Aegilops geniculata Roth, 1797",80278,80278,"Angiospermes","Poales","Poaceae","Pooideae","Triticeae","Aegilops geniculata"
"Aegopodium podagraria","Aegopodium podagraria","Aegopodium podagraria L., 1753",80322,80322,"Angiospermes","Apiales","Apiaceae","Apioideae","Careae","Aegopodium podagraria"
"Aethusa cynapium","Aethusa cynapium","Aethusa cynapium L., 1753",80358,80358,"Angiospermes","Apiales","Apiaceae","Apioideae","Selineae","Aethusa cynapium"
"Agrimonia eupatoria","Agrimonia eupatoria","Agrimonia eupatoria L., 1753",80410,80410,"Angiospermes","Rosales","Rosaceae","Rosoideae","Agrimonieae","Agrimonia eupatoria"
"Elytrigia repens","Elytrigia repens","Elytrigia repens (L.) Desv. ex Nevski, 1934",96046,96046,"Angiospermes","Poales","Poaceae","Pooideae","Triticeae","Elytrigia repens"
"Agrostemma githago","Agrostemma githago","Agrostemma githago L., 1753",80546,80546,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Agrostemma githago"
"Agrostis capillaris","Agrostis capillaris","Agrostis capillaris L., 1753",80591,80591,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Agrostis capillaris"
"Agrostis stolonifera","Agrostis stolonifera","Agrostis stolonifera L., 1753",80759,80759,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Agrostis stolonifera"
"Agrostis canina","Agrostis canina","Agrostis canina L., 1753 [nom. et typ. cons.]",80590,80590,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Agrostis canina"
"Agrostis curtisii","Agrostis curtisii","Agrostis curtisii Kerguélen, 1976",80605,80605,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Agrostis curtisii"
"Agrostis gigantea","Agrostis gigantea","Agrostis gigantea Roth, 1788",80639,80639,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Agrostis gigantea"
"Aira caryophyllea","Aira caryophyllea","Aira caryophyllea L., 1753",80857,80857,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Aira caryophyllea"
"Aira cupaniana","Aira cupaniana","Aira cupaniana Guss., 1843",80864,80864,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Aira cupaniana"
"Ajuga reptans","Ajuga reptans","Ajuga reptans L., 1753",80990,80990,"Angiospermes","Lamiales","Lamiaceae","Ajugoideae","","Ajuga reptans"
"Alliaria petiolata","Alliaria petiolata","Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913",81295,81295,"Angiospermes","Brassicales","Brassicaceae","","","Alliaria petiolata"
"Allium vineale","Allium vineale","Allium vineale L., 1753",81544,81544,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium vineale"
"Allium oleraceum","Allium oleraceum","Allium oleraceum L., 1753",81457,81457,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium oleraceum"
"Allium polyanthum","Allium polyanthum","Allium ampeloprasum L., 1753",81480,81313,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium ampeloprasum"
"Allium polyanthum","Allium polyanthum","Allium polyanthum Schult. & Schult.f., 1830",81479,81479,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium polyanthum"
"Allium porrum","Allium porrum","Allium porrum L., 1753",81483,81483,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium porrum"
"Allium roseum","Allium roseum","Allium narcissiflorum Vill., 1779",81500,81443,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium narcissiflorum"
"Allium roseum","Allium roseum","Allium roseum L., 1753",81499,81499,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium roseum"
"Allium roseum","Allium roseum","Allium schoenoprasum L., 1753",934266,81508,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium schoenoprasum"
"Allium rotundum","Allium rotundum","Allium rotundum L., 1762",81501,81501,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium rotundum"
"Allium sativum","Allium sativum","Allium sativum L., 1753",81505,81505,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium sativum"
"Allium sphaerocephalon","Allium sphaerocephalon","Allium sphaerocephalon L., 1753",81520,81520,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium sphaerocephalon"
"Allium triquetrum","Allium triquetrum","Allium triquetrum L., 1753",81538,81538,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium triquetrum"
"Alopecurus myosuroides","Alopecurus myosuroides","Alopecurus myosuroides Huds., 1762",81648,81648,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Alopecurus myosuroides"
"Alopecurus geniculatus","Alopecurus geniculatus","Alopecurus geniculatus L., 1753",81637,81637,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Alopecurus geniculatus"
"Alopecurus pratensis","Alopecurus pratensis","Alopecurus pratensis L., 1753",81656,81656,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Alopecurus pratensis"
"Althaea cannabina","Althaea cannabina","Althaea cannabina L., 1753",81837,81837,"Angiospermes","Malvales","Malvaceae","Malvoideae","Malveae","Althaea cannabina"
"Althaea officinalis","Althaea officinalis","Althaea officinalis L., 1753",81856,81856,"Angiospermes","Malvales","Malvaceae","Malvoideae","Malveae","Althaea officinalis"
