"","nom_eni","total"
"1","Acer campestre",26
"2","Acer pseudoplatanus",1
"3","Achillea ligustica",2
"4","Achillea millefolium",1792
"5","Aegilops geniculata",166
"6","Aegopodium podagraria",70
"7","Aethusa cynapium",30
"8","Agrimonia eupatoria",267
"9","Agrostemma githago",14
"10","Agrostis canina",21
"11","Agrostis capillaris",747
"12","Agrostis curtisii",1
"13","Agrostis gigantea",13
"14","Agrostis stolonifera",2029
"15","Aira caryophyllea",30
"16","Aira cupaniana",3
"17","Ajuga reptans",11
"18","Alliaria petiolata",21
"19","Allium oleraceum",8
"20","Allium polyanthum",8
"21","Allium porrum",5
"22","Allium roseum",3
"23","Allium rotundum",1
"24","Allium sativum",1
"25","Allium sphaerocephalon",3
"26","Allium triquetrum",11
"27","Allium vineale",88
"28","Alopecurus geniculatus",10
"29","Alopecurus myosuroides",649
"30","Alopecurus pratensis",145
"31","Althaea cannabina",6
"32","Althaea officinalis",15
"33","Alyssum alyssoides",7
"34","Amaranthus albus",1
"35","Amaranthus blitum",10
"36","Amaranthus deflexus",2
"37","Amaranthus hybridus",22
"38","Amaranthus retroflexus",46
"39","Ambrosia artemisiifolia",197
"40","Ammi majus",24
"41","Anacamptis pyramidalis",11
"42","Andryala integrifolia",27
"43","Angelica sylvestris",6
"44","Anisantha diandra",210
"45","Anisantha madritensis",221
"46","Anisantha rubens",1
"47","Anisantha sterilis",2821
"48","Anisantha tectorum",5
"49","Anthemis arvensis",87
"50","Anthemis cotula",37
"51","Anthoxanthum odoratum",267
"52","Anthriscus caucalis",12
"53","Anthriscus sylvestris",52
"54","Apera spica-venti",24
"55","Aphanes arvensis",73
"56","Arabidopsis thaliana",1
"57","Arabis hirsuta",7
"58","Arctium lappa",2
"59","Arctium minus",145
"60","Arenaria serpyllifolia",28
"61","Argentina anserina",163
"62","Arisarum vulgare",7
"63","Aristolochia clematitis",9
"64","Arrhenatherum elatius subsp. bulbosum",66
"65","Arrhenatherum elatius subsp. elatius",4228
"66","Artemisia verlotiorum",5
"67","Artemisia vulgaris",731
"68","Arum italicum",12
"69","Arum maculatum",2
"70","Asparagus acutifolius",2
"71","Asparagus officinalis",10
"72","Asperula cynanchica",5
"73","Astragalus pelecinus",8
