ID_ENI;NOM_SCIENTIFIQUE;ID_TaxRef;Family;Taxa name;RED LIST STATUS FR;POP. TREND;PN;Messicole;Agrotolerance;Native_Status;Residence_Time;Naturalization status;Chorology;FM Type;IndVal;P-value;Rank
Abies;#N/A;188665;Pinaceae;Abies Mill., 1754;NA;NA;-;-;;NA;NA;NA;NA;NA;NA;;genus
Acer campestre;Acer campestre L.;79734;Sapindaceae;Acer campestre L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;5;2,4;;species
Acer pseudoplatanus;Acer pseudoplatanus L.;79783;Sapindaceae;Acer pseudoplatanus L., 1753;LC;Stable;-;-;;Native;-;-;european;4;3,4;;species
Achillea ligustica;Achillea ligustica All.;79903;Asteraceae;Achillea ligustica All., 1773;LC;Not_known;-;-;;Native;-;-;mediterranean;NA;NA;;species
Achillea millefolium;Achillea millefolium L.;79908;Asteraceae;Achillea millefolium L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;5;8,5;;species
Aegilops geniculata;Aegilops geniculata Roth;80278;Poaceae;Aegilops geniculata Roth, 1797;LC;Not_known;-;-;;Native;-;-;subtropical;7;14,4;***;species
Buglossoides purpurocaerulea;Buglossoides purpurocaerulea (L.) I.M.Johnst.;80317;Boraginaceae;Aegonychon purpurocaeruleum (L.) Holub, 1973;LC;Decrease;-;-;;Native;-;-;european;6;1,5;;species
Aegopodium podagraria;Aegopodium podagraria L.;80322;Apiaceae;Aegopodium podagraria L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;4;10,3;***;species
Aethusa cynapium;Aethusa cynapium L.;80358;Apiaceae;Aethusa cynapium L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;1;2,4;;species
Agrimonia eupatoria;Agrimonia eupatoria L.;80410;Rosaceae;Agrimonia eupatoria L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;6;8,9;**;species
Agrostemma githago;Agrostemma githago L. ;80546;Caryophyllaceae;Agrostemma githago L., 1753;LC;Decrease;-;messicole;;Alien;Archaeophyt;Naturalized;introduced;5;1;;species
Agrostis canina;Agrostis canina L. ;80590;Poaceae;Agrostis canina L., 1753;LC;Stable;-;-;;Native;-;-;holarctic;1;1,3;;species
Agrostis capillaris;Agrostis capillaris L. ;80591;Poaceae;Agrostis capillaris L., 1753;LC;Stable;-;-;;Native;-;-;holarctic;6;15,2;***;species
Agrostis curtisii;Agrostis curtisii KerguÇlen;80605;Poaceae;Agrostis curtisii KerguÇlen, 1976;LC;Stable;-;-;;Native;-;-;atlantic;6;1,5;;species
Agrostis gigantea;Agrostis gigantea Roth;80639;Poaceae;Agrostis gigantea Roth, 1788;LC;Stable;-;-;;Native;-;-;holarctic;6;3;*;species
Agrostis stolonifera;Agrostis stolonifera L. ;80759;Poaceae;Agrostis stolonifera L., 1753;LC;Stable;-;-;;Native;-;-;holarctic;6;17,2;***;species
Aira caryophyllea;Aira caryophyllea L.;80857;Poaceae;Aira caryophyllea L., 1753;LC;Stable;-;-;;Native;-;-;european;6;3,3;;species
Aira cupaniana;Aira cupaniana Guss. ;80864;Poaceae;Aira cupaniana Guss., 1843;LC;Decrease;-;-;;Native;-;-;mediterranean;7;2,1;;species
Ajuga reptans;Ajuga reptans L.;80990;Lamiaceae;Ajuga reptans L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;2;1,3;;species
Alchemilla;#N/A;188940;Rosaceae;Alchemilla L., 1753;NA;NA;-;-;;NA;NA;NA;NA;NA;NA;;genus
Alliaria petiolata;Alliaria petiolata (M.Bieb.) Cavara & Grande;81295;Brassicaceae;Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913;LC;Increase;-;-;;Native;-;-;eurasiatic;3;1,9;;species
Allium oleraceum;Allium oleraceum L. ;81457;Amaryllidaceae;Allium oleraceum L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;5;1,4;;species
Allium polyanthum;Allium polyanthum Schult. & Schult.f.;81479;Amaryllidaceae;Allium polyanthum Schult. & Schult.f., 1830;LC;Stable;-;-;;Native;-;-;mediterranean;7;6,4;**;species
Allium porrum;Allium porrum L.;81483;Amaryllidaceae;Allium porrum L., 1753;NA;NA;-;-;;Alien;Neophyt;Casual;introduced;7;4,3;*;species
Allium roseum;Allium roseum L.;81499;Amaryllidaceae;Allium roseum L., 1753;LC;Decrease;-;messicole;;Native;-;-;mediterranean;7;2,1;;species
Allium rotundum;Allium rotundum L.;81501;Amaryllidaceae;Allium rotundum L., 1762;LC;Decrease;-;-;;Native;-;-;european;2;1;;species
Allium sphaerocephalon;Allium sphaerocephalon L. ;81520;Amaryllidaceae;Allium sphaerocephalon L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;7;1,4;;species
Allium triquetrum;Allium triquetrum L.;81538;Amaryllidaceae;Allium triquetrum L., 1753;LC;Stable;-;-;;Native;-;-;mediterranean;7;2,1;;species
Allium vineale;Allium vineale L.;81544;Amaryllidaceae;Allium vineale L., 1753;LC;Stable;-;-;;Native;-;-;european;1;2,3;;species
