ID_ENI;Codeconcat;Phi;ID_baseflor;weeds_annual_crops;weeds_market_crops;weeds_vineyards;other_status;biol_type_simpl;biol_type_baseflor;SLA_NA;Height_min;Height_max;Height_horiz;Height_mean;Seed_mass_NA;Flow_on;Flow_end;Flow_dur;pollination_mode;dispersal_mode;EIV_L;EIV_T;EIV_K;EIV_F;EIV_R;EIV_N;taxref.name;rang_taxinomique;N°_Taxinomique_BDNFF;N°_Nomenclatural_BDNFF;code_CATMINAT;NOM_SCIENTIFIQUE;CHOROLOGIE2;inflorescence;sexualité;ordre_maturation;pollinisation;fruit;dissémination;couleur_fleur;macule;floraison;type_ligneux;Hauteur_végétative_maximum_[m];TYPE_BIOLOGIQUE;FORMATION_VEGETALE;CARACTERISATION_ECOLOGIQUE_(HABITAT_OPTIMAL);INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE;INDICATION_CARACTERISTIQUE_TRANSGRESSIVE;INDICATION_DIFFERENTIELLE_1;INDICATION_DIFFERENTIELLE_2;INDICATION_DIFFERENTIELLE_3;Lumière;Température;Continentalité;Humidité_atmosphérique;Humidité_édaphique;Réaction_du_sol_(pH);Niveau_trophique;Salinité;Texture;Matière_organique;Lichtzahl;Temperaturzahl;Kontinentalität;Feuchtzahl;Reaktionszahl;Nutrients;Salz;ROYAUME_[ou_subroyaume_?];EMBRANCHEMENT_[= division._phylum]_(-ophyta);SUBEMBRANCHEMENT_(-ophytina);CLASSE_(-opsida);SUBCLASSE_(-idae);Clade_intermédiaire;Clade_intermédiaire;Clade_intermédiaire;SUPERORDRE_(-anae);Clade_intermédiaire;ORDRE_(-ales);SUBORDRE_(ineae);FAMILLE;SUBFAMILLE_(-oideae);TRIBU_(-eae);SUBTRIBU_(-inae);SECTION;SUBSECTION;SERIE;PhytobaseID;Nom Phytobase;Genre;CHOROLOGIE;TYPE_BIOLOGIQUE;flowering_onset;flowering_onset_season;flowering_duration;pollination_syndrom;dispersal_syndrom;Ell_N;Ell_L;Ell_F
Acer campestre;Acecamp;0.064557784;Acer campestre L.;no;no;no;;phanerophyte;a-cad;15.62988276;12;15;NA;NA;79;5;5;1;anemogame;anémochore;8;6;5;5;7;5;verif;esp;8522;141;18/1.0.2.0.2;Acer campestre L.;eurasiatique méridional;corymbe;polygame;0;anemogame;samare;anémochore;vert;0;5;petit arbre;25;a-cad;magnophanérophytaie;bois caducifoliés médio-européens. planitiaires-collinéens. basoclines;Aceri campestris - Carpinion betuli;0;0;0;0;8;6;5;4;5;7;5;0;3;3;-5;6;4;5;7;6;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Rosids;Rosanae;Malvids;Sapindales;0;Sapindaceae;0;0;0;0;0;0;1988;Acer campestre A;Acer;eurasiatique;a-cad;verif;verif;verif;verif;verif;verif;verif;verif
Acer pseudoplatanus;Acepseu;-0.003127821;Acer pseudoplatanus L.;no;no;no;;phanerophyte;A-cad;19.73038282;5;30;NA;NA;95.1;5;5;1;anemogame;anémochore;7;5;5;5;5;7;verif;esp;11;210;18/1.;Acer pseudoplatanus L.;européen;racème de cymes unipares scorpioïdes;polygame;0;anemogame;samare;anémochore;vert;0;5;arbre;38;A-cad;magnophanérophytaie;associations arborescentes des forêts et bois caducifoliés climaciques. malacophylles. du tempéré modal médio-européen;Fraxino excelsioris - Quercetea roboris;0;0;0;0;7;5;5;6;5;5;7;0;3;3;-4;x;4;6;x;7;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Rosids;Rosanae;Malvids;Sapindales;0;Sapindaceae;0;0;0;0;0;0;1985;Acer pseudoplatanus A;Acer;européen;A-cad;verif;verif;verif;verif;verif;verif;verif;verif
Achillea ligustica;Achligu;0.018767911;Achillea ligustica All.;no;no;no;;hemicryptophyte;heri;NA;0.4;1;NA;NA;0.2908;6;9;4;entomogame;anémochore;8;8;4;5;7;5;achillea ligustica;esp;362;358;09/4.0.1;Achillea ligustica All.;méditerranéen occidental;corymbe de capitules;hermaphrodite;0;entomogame;akène;anémochore;blanc;0;0;0;0;heri;hémicryptophytaie;pelouses basophiles méditerranéennes. mésoxérophiles à mésohydriques;Brachypodietalia retusi;0;0;0;0;8;8;4;4;5;7;5;0;3;2;0;0;0;0;0;0;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Campanulids;Asterales;0;Asteraceae;0;0;0;0;0;0;11433;Achillea ligustica;Achillea;méditerranéen;heri;NA;NA;NA;entomogame;anémochore;5;8;5
Achillea millefolium;Achmill;0.364322948;Achillea millefolium L.;no;no;no;;hemicryptophyte;hsto;13.90752524;0.2;1;NA;0.445058681;0.149564356;6;9;4;entomogame;anémochore;8;5;5;5;5;4;achillea millefolium;esp;8527;365;12/1.;Achillea millefolium L.;eurasiatique;corymbe de capitules;gynodioïque;protandre;entomogame;akène;anémochore;blanc;0;06-sept;0;0;hsto;hémicryptophytaie;prairies européennes mésotrophiles à eutrophiles;Agrostio stoloniferae - Arrhenatheretea elatioris subsp. elatioris;0;0;0;0;8;5;5;4;5;5;4;1;4;4;8;x;x;4;x;5;1;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Campanulids;Asterales;0;Asteraceae;0;0;0;0;0;0;14901;Achillea millefolium;Achillea;eurasiatique;hsto;6;spring;9;entomogame;anémochore;4;8;5
Aegilops geniculata;Aeggeni;0.10286619;Aegilops geniculata Roth;no;no;no;;therophyte;test;23.725;0.1;0.3;NA;NA;48.83;4;7;4;anemogame;épizoochore;8;7;4;3;6;5;aegilops geniculata;esp;6580;939;08/4.0.1.0.2;Aegilops geniculata Roth;subtropical(paléo);épi d'épillets;hermaphrodite;0;anemogame;caryopse;épizoochore;vert;0;0;0;0;test;thérophytaie;annuelles des tonsures basophiles. aéroxérophiles. thermophiles. mésoméditerranéennes. de l'intérieur des terres;Sideriti romanae - Hypochaeridion achyrophori;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Poaceae;0;0;0;0;0;0;394;Aegilops geniculata;Aegilops;subtropical;test;NA;NA;NA;anemogame;zoochore;NA;NA;NA
Aegopodium podagraria;Aegpoda;0.062260749;Aegopodium podagraria L.;no;no;no;;hemicryptophyte;hsto;30.02086957;0.4;1;NA;0.682272727;2.277142857;5;8;4;entomogame;barochore;5;4;5;5;7;7;aegopodium podagraria;esp;66;1036;13/2.0.1.0.1;Aegopodium podagraria L.;eurasiatique septentrional;ombelle d'ombellules;hermaphrodite;0;entomogame;akène;barochore;blanc;0;05-ao˚t;0;0;hsto;hémicryptophytaie;ourlets externes et friches eutrophiles. mésohydriques à mésohygrophiles. estivaux;Aegopodion podagrariae;Petasition hybridi;0;0;0;5;4;5;5;5;7;7;0;2;3;5;5;3;6;7;8;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Campanulids;Apiales;0;Apiaceae;0;0;0;0;0;0;2241;Aegopodium podagraria;Aegopodium;eurasiatique;hsto;5;spring;8;entomogame;barochore;7;5;5
Aethusa cynapium;Aetcyna;-0.049981835;Aethusa cynapium L.;yes;no;no;;therophyte;test(hbis);32.568;0.5;0.8;NA;0.907142857;1.52;6;10;5;entomogame;barochore;7;4;4;5;8;7;aethusa cynapium;esp;8545;1084;13/3.0.2.0.5;Aethusa cynapium L.;eurasiatique septentrional;ombelle d'ombellules;hermaphrodite;0;entomogame;akène;barochore;blanc;0;06-oct;0;0;test(hbis);thérophytaie;annuelles commensales des cultures sarclées basophiles. mésothermes;Fumario officinalis - Euphorbion helioscopiae;0;0;0;0;7;4;4;5;5;8;7;0;3;2;6;6;3;5;8;6;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;Asterids;Asteranae;Campanulids;Apiales;0;Apiaceae;0;0;0;0;0;0;15650;Aethusa cynapium;Aethusa;eurasiatique;test(hbis);6;spring;10;entomogame;barochore;7;7;5
Agrimonia eupatoria;Agreupa;0.159517305;Agrimonia eupatoria L.;no;no;no;;hemicryptophyte;hros;17.796875;0.3;1.2;NA;0.6265;8.584642857;6;9;4;entomogame. autogame;épizoochore;6;5;4;4;7;4;agrimonia eupatoria;esp;8548;1141;10/2.0.2.0.1;Agrimonia eupatoria L.;eurasiatique;épi simple;hermaphrodite;0;entomogame. autogame;akène;épizoochore;jaune;0;06-sept;0;0;hros;hémicryptophytaie;ourlets basophiles à neutroclines. mésohydriques. planitiaires-collinéens;Knautio arvensis - Agrimonion eupatoriae;0;0;0;0;6;5;4;4;4;7;4;0;3;2;7;6;4;4;8;4;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;0;Rosanae;Fabids;Rosales;0;Rosaceae;0;0;0;0;0;0;14360;Agrimonia eupatoria;Agrimonia;eurasiatique;hros;6;spring;9;mixed;zoochore;4;6;4
Agrostemma githago;Agrgith;0.014576072;Agrostemma githago L. ;no;no;no;messicole;therophyte;Test;17.73;0.2;1;NA;0.893636364;13.13222222;6;7;2;entomogame;barochore;7;6;5;4;8;6;agrostemma githago;esp;29933;74941;13/3.0.2;Agrostemma githago L. ;cosmopolite;cyme bipare;hermaphrodite;homogame;entomogame;capsule;barochore;rose;0;06-juil;0;0;Test;thérophytaie;annuelles commensales des cultures basophiles;Papaveretalia rhoeadis;0;0;0;0;7;6;5;4;4;8;6;0;3;2;7;x;x;x;x;x;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Eudicots;core Eudicots;0;Caryophyllanae;0;Caryophyllales;0;Caryophyllaceae;0;0;0;0;0;0;948;Agrostemma githago;Agrostemma;Archeophyt;Test;6;spring;7;entomogame;barochore;6;7;4
Agrostis canina;Agrcani;0.032508503;Agrostis canina L. ;no;no;no;;hemicryptophyte;hsto;31.69136364;0.2;1.5;NA;0.371333333;0.053333333;6;8;3;anemogame;anémochore;7;5;5;8;3;2;agrostis canina;esp;29934;74942;06/1.1.1;Agrostis canina L. ;holarctique;panicule d'épillets;hermaphrodite;protandre;anemogame;caryopse;anémochore;rose;0;06-ao˚t;0;0;hsto;hémicryptophytaie;parvocariçaies et jonçaies des tourbières médio-européennes à boréo-subalpines. acidophiles;Junco acutiflori - Caricetalia nigrae subsp. nigrae;0;0;0;0;7;5;5;8;8;3;2;0;2;9;9;5;5;9;3;2;0;Chlorobionta;Charophyta;Streptophytina;Equisetopsida;Magnoliidae;Monocots;0;Commelinids;Lilianae;0;Poales;0;Poaceae;0;0;0;0;0;0;7491;Agrostis canina (doublon);Agrostis;holarctique;hsto;6;spring;8;anemogame;anémochore;2;7;8
