"","nom_eni","nom_eni_fusion_trait","NOM_VALIDE","CD_NOM","CD_REF","GROUP2_INPN","ORDRE","FAMILLE","SOUS_FAMILLE","TRIBU","nom_eni_syn","key","nom_eni_fusion_trait_code"
"1","Acer campestre","Acer campestre","Acer campestre L., 1753",79734,79734,"Angiospermes","Sapindales","Sapindaceae","Hippocastanoideae","Acereae","Acer campestre","ACERCAMPEST","ACERCAMPEST"
"2","Acer pseudoplatanus","Acer pseudoplatanus","Acer pseudoplatanus L., 1753",79783,79783,"Angiospermes","Sapindales","Sapindaceae","Hippocastanoideae","Acereae","Acer pseudoplatanus","ACERPSEUDOP","ACERPSEUDOP"
"3","Achillea millefolium","Achillea millefolium","Achillea millefolium L., 1753",79908,79908,"Angiospermes","Asterales","Asteraceae","Asteroideae","Anthemideae","Achillea millefolium","ACHIMILLEFO","ACHIMILLEFO"
"4","Achillea ligustica","Achillea ligustica","Achillea ligustica All., 1773",79903,79903,"Angiospermes","Asterales","Asteraceae","Asteroideae","Anthemideae","Achillea ligustica","ACHILIGUSTI","ACHILIGUSTI"
"5","Aegilops geniculata","Aegilops geniculata","Aegilops geniculata Roth, 1797",80278,80278,"Angiospermes","Poales","Poaceae","Pooideae","Triticeae","Aegilops geniculata","AEGIGENICUL","AEGIGENICUL"
"6","Aegopodium podagraria","Aegopodium podagraria","Aegopodium podagraria L., 1753",80322,80322,"Angiospermes","Apiales","Apiaceae","Apioideae","Careae","Aegopodium podagraria","AEGOPODAGRA","AEGOPODAGRA"
"7","Aethusa cynapium","Aethusa cynapium","Aethusa cynapium L., 1753",80358,80358,"Angiospermes","Apiales","Apiaceae","Apioideae","Selineae","Aethusa cynapium","AETHCYNAPIU","AETHCYNAPIU"
"8","Agrimonia eupatoria","Agrimonia eupatoria","Agrimonia eupatoria L., 1753",80410,80410,"Angiospermes","Rosales","Rosaceae","Rosoideae","Agrimonieae","Agrimonia eupatoria","AGRIEUPATOR","AGRIEUPATOR"
"9","Elytrigia repens","Elytrigia repens","Elytrigia repens (L.) Desv. ex Nevski, 1934",96046,96046,"Angiospermes","Poales","Poaceae","Pooideae","Triticeae","Elytrigia repens","ELYTREPENS","ELYTREPENS"
"10","Agrostemma githago","Agrostemma githago","Agrostemma githago L., 1753",80546,80546,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Agrostemma githago","AGROGITHAGO","AGROGITHAGO"
"11","Agrostis capillaris","Agrostis capillaris","Agrostis capillaris L., 1753",80591,80591,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Agrostis capillaris","AGROCAPILLA","AGROCAPILLA"
"12","Agrostis stolonifera","Agrostis stolonifera","Agrostis stolonifera L., 1753",80759,80759,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Agrostis stolonifera","AGROSTOLONI","AGROSTOLONI"
"13","Agrostis canina","Agrostis canina","Agrostis canina L., 1753 [nom. et typ. cons.]",80590,80590,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Agrostis canina","AGROCANINA","AGROCANINA"
"14","Agrostis curtisii","Agrostis curtisii","Agrostis curtisii Kerguélen, 1976",80605,80605,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Agrostis curtisii","AGROCURTISI","AGROCURTISI"
"15","Agrostis gigantea","Agrostis gigantea","Agrostis gigantea Roth, 1788",80639,80639,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Agrostis gigantea","AGROGIGANTE","AGROGIGANTE"
"16","Aira caryophyllea","Aira caryophyllea","Aira caryophyllea L., 1753",80857,80857,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Aira caryophyllea","AIRACARYOPH","AIRACARYOPH"
"17","Aira cupaniana","Aira cupaniana","Aira cupaniana Guss., 1843",80864,80864,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Aira cupaniana","AIRACUPANIA","AIRACUPANIA"
"18","Ajuga reptans","Ajuga reptans","Ajuga reptans L., 1753",80990,80990,"Angiospermes","Lamiales","Lamiaceae","Ajugoideae",NA,"Ajuga reptans","AJUGREPTANS","AJUGREPTANS"
"19","Alliaria petiolata","Alliaria petiolata","Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913",81295,81295,"Angiospermes","Brassicales","Brassicaceae",NA,NA,"Alliaria petiolata","ALLIPETIOLA","ALLIPETIOLA"
"20","Allium vineale","Allium vineale","Allium vineale L., 1753",81544,81544,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium vineale","ALLIVINEALE","ALLIVINEALE"
"21","Allium oleraceum","Allium oleraceum","Allium oleraceum L., 1753",81457,81457,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium oleraceum","ALLIOLERACE","ALLIOLERACE"
"22","Allium polyanthum","Allium polyanthum","Allium ampeloprasum L., 1753",81480,81313,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium ampeloprasum","ALLIPOLYANT","ALLIPOLYANT"
"23","Allium polyanthum","Allium polyanthum","Allium polyanthum Schult. & Schult.f., 1830",81479,81479,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium polyanthum","ALLIPOLYANT","ALLIPOLYANT"
"24","Allium porrum","Allium porrum","Allium porrum L., 1753",81483,81483,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium porrum","ALLIPORRUM","ALLIPORRUM"
"25","Allium roseum","Allium roseum","Allium narcissiflorum Vill., 1779",81500,81443,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium narcissiflorum","ALLIROSEUM","ALLIROSEUM"
"26","Allium roseum","Allium roseum","Allium roseum L., 1753",81499,81499,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium roseum","ALLIROSEUM","ALLIROSEUM"
"27","Allium roseum","Allium roseum","Allium schoenoprasum L., 1753",934266,81508,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium schoenoprasum","ALLIROSEUM","ALLIROSEUM"
"28","Allium rotundum","Allium rotundum","Allium rotundum L., 1762",81501,81501,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium rotundum","ALLIROTUNDU","ALLIROTUNDU"
"29","Allium sativum","Allium sativum","Allium sativum L., 1753",81505,81505,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium sativum","ALLISATIVUM","ALLISATIVUM"
"30","Allium sphaerocephalon","Allium sphaerocephalon","Allium sphaerocephalon L., 1753",81520,81520,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium sphaerocephalon","ALLISPHAERO","ALLISPHAERO"
"31","Allium triquetrum","Allium triquetrum","Allium triquetrum L., 1753",81538,81538,"Angiospermes","Asparagales","Amaryllidaceae","Allioideae","Allieae","Allium triquetrum","ALLITRIQUET","ALLITRIQUET"
"32","Alopecurus myosuroides","Alopecurus myosuroides","Alopecurus myosuroides Huds., 1762",81648,81648,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Alopecurus myosuroides","ALOPMYOSURO","ALOPMYOSURO"
"33","Alopecurus geniculatus","Alopecurus geniculatus","Alopecurus geniculatus L., 1753",81637,81637,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Alopecurus geniculatus","ALOPGENICUL","ALOPGENICUL"
"34","Alopecurus pratensis","Alopecurus pratensis","Alopecurus pratensis L., 1753",81656,81656,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Alopecurus pratensis","ALOPPRATENS","ALOPPRATENS"
"35","Althaea cannabina","Althaea cannabina","Althaea cannabina L., 1753",81837,81837,"Angiospermes","Malvales","Malvaceae","Malvoideae","Malveae","Althaea cannabina","ALTHCANNABI","ALTHCANNABI"
"36","Althaea officinalis","Althaea officinalis","Althaea officinalis L., 1753",81856,81856,"Angiospermes","Malvales","Malvaceae","Malvoideae","Malveae","Althaea officinalis","ALTHOFFICIN","ALTHOFFICIN"
"37","Alyssum alyssoides","Alyssum alyssoides","Alyssum alyssoides (L.) L., 1759",81878,81878,"Angiospermes","Brassicales","Brassicaceae",NA,NA,"Alyssum alyssoides","ALYSALYSSOI","ALYSALYSSOI"
"38","Amaranthus hybridus","Amaranthus hybridus","Amaranthus hybridus L., 1753",81992,81992,"Angiospermes","Caryophyllales","Amaranthaceae","Amaranthoideae","Amarantheae","Amaranthus hybridus","AMARHYBRIDU","AMARHYBRIDU"
"39","Amaranthus hybridus","Amaranthus hybridus","Amaranthus powellii S.Watson, 1875",81993,82015,"Angiospermes","Caryophyllales","Amaranthaceae","Amaranthoideae","Amarantheae","Amaranthus powellii","AMARHYBRIDU","AMARHYBRIDU"
"40","Amaranthus albus","Amaranthus albus","Amaranthus albus L., 1759",81955,81955,"Angiospermes","Caryophyllales","Amaranthaceae","Amaranthoideae","Amarantheae","Amaranthus albus","AMARALBUS","AMARALBUS"
"41","Amaranthus blitum","Amaranthus blitum","Amaranthus blitum L., 1753",81966,81966,"Angiospermes","Caryophyllales","Amaranthaceae","Amaranthoideae","Amarantheae","Amaranthus blitum","AMARBLITUM","AMARBLITUM"
"42","Amaranthus blitum","Amaranthus blitum","Amaranthus blitum subsp. emarginatus (Salzm. ex Uline & W.L.Bray) Carretero, Muñoz Garm. & Pedrol, 1987",81965,131286,"Angiospermes","Caryophyllales","Amaranthaceae","Amaranthoideae","Amarantheae","Amaranthus blitum","AMARBLITUM","AMARBLITUM"
"43","Amaranthus blitum","Amaranthus blitum","Amaranthus graecizans subsp. silvestris (Vill.) Brenan, 1961",81964,131292,"Angiospermes","Caryophyllales","Amaranthaceae","Amaranthoideae","Amarantheae","Amaranthus graecizans","AMARBLITUM","AMARBLITUM"
"44","Amaranthus deflexus","Amaranthus deflexus","Amaranthus deflexus L., 1771",81978,81978,"Angiospermes","Caryophyllales","Amaranthaceae","Amaranthoideae","Amarantheae","Amaranthus deflexus","AMARDEFLEXU","AMARDEFLEXU"
"45","Amaranthus retroflexus","Amaranthus retroflexus","Amaranthus retroflexus L., 1753",82018,82018,"Angiospermes","Caryophyllales","Amaranthaceae","Amaranthoideae","Amarantheae","Amaranthus retroflexus","AMARRETROFL","AMARRETROFL"
"46","Ambrosia artemisiifolia","Ambrosia artemisiifolia","Ambrosia artemisiifolia L., 1753",82080,82080,"Angiospermes","Asterales","Asteraceae","Asteroideae","Heliantheae","Ambrosia artemisiifolia","AMBRARTEMIS","AMBRARTEMIS"
"47","Ammi majus","Ammi majus","Ammi majus L., 1753",82130,82130,"Angiospermes","Apiales","Apiaceae","Apioideae","Apieae","Ammi majus","AMMIMAJUS","AMMIMAJUS"
"48","Anacamptis pyramidalis","Anacamptis pyramidalis","Anacamptis pyramidalis (L.) Rich., 1817",82288,82288,"Angiospermes","Asparagales","Orchidaceae","Orchidoideae","Orchideae","Anacamptis pyramidalis","ANACPYRAMID","ANACPYRAMID"
"49","Andryala integrifolia","Andryala integrifolia","Andryala integrifolia L., 1753",82562,82562,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Andryala integrifolia","ANDRINTEGRI","ANDRINTEGRI"
"50","Angelica sylvestris","Angelica sylvestris","Angelica sylvestris L., 1753",82738,82738,"Angiospermes","Apiales","Apiaceae","Apioideae","Selineae","Angelica sylvestris","ANGESYLVEST","ANGESYLVEST"
"51","Anthemis arvensis","Anthemis arvensis","Anthemis arvensis L., 1753",82817,82817,"Angiospermes","Asterales","Asteraceae","Asteroideae","Anthemideae","Anthemis arvensis","ANTHARVENSI","ANTHARVENSI"
"52","Anthemis cotula","Anthemis cotula","Anthemis cotula L., 1753",82833,82833,"Angiospermes","Asterales","Asteraceae","Asteroideae","Anthemideae","Anthemis cotula","ANTHCOTULA","ANTHCOTULA"
"53","Anthoxanthum odoratum","Anthoxanthum odoratum","Anthoxanthum odoratum L., 1753",82922,82922,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Anthoxanthum odoratum","ANTHODORATU","ANTHODORATU"
"54","Anthriscus caucalis","Anthriscus caucalis","Anthriscus caucalis M.Bieb., 1808",82931,82931,"Angiospermes","Apiales","Apiaceae","Apioideae","Scandiceae","Anthriscus caucalis","ANTHCAUCALI","ANTHCAUCALI"
"55","Anthriscus sylvestris","Anthriscus sylvestris","Anthriscus sylvestris (L.) Hoffm., 1814",82952,82952,"Angiospermes","Apiales","Apiaceae","Apioideae","Scandiceae","Anthriscus sylvestris","ANTHSYLVEST","ANTHSYLVEST"
"56","Apera spica-venti","Apera spica-venti","Apera spica-venti (L.) P.Beauv., 1812",83156,83156,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Apera spica-venti","APERSPICA-V","APERSPICA-V"
"57","Aphanes arvensis","Aphanes arvensis","Aphanes arvensis L., 1753",83159,83159,"Angiospermes","Rosales","Rosaceae","Rosoideae","Potentilleae","Aphanes arvensis","APHAARVENSI","APHAARVENSI"
"58","Arabidopsis thaliana","Arabidopsis thaliana","Arabidopsis thaliana (L.) Heynh., 1842",83272,83272,"Angiospermes","Brassicales","Brassicaceae",NA,NA,"Arabidopsis thaliana","ARABTHALIAN","ARABTHALIAN"
"59","Arabis hirsuta","Arabis hirsuta","Arabis ciliata Clairv., 1811",83331,83303,"Angiospermes","Brassicales","Brassicaceae",NA,NA,"Arabis ciliata","ARABHIRSUTA","ARABHIRSUTA"
"60","Arabis hirsuta","Arabis hirsuta","Arabis hirsuta (L.) Scop., 1772",83332,83332,"Angiospermes","Brassicales","Brassicaceae",NA,NA,"Arabis hirsuta","ARABHIRSUTA","ARABHIRSUTA"
"61","Arctium minus","Arctium minus","Arctium minus (Hill) Bernh., 1800",83502,83502,"Angiospermes","Asterales","Asteraceae","Carduoideae","Cardueae","Arctium minus","ARCTMINUS","ARCTMINUS"
"62","Arctium lappa","Arctium lappa","Arctium lappa L., 1753",83499,83499,"Angiospermes","Asterales","Asteraceae","Carduoideae","Cardueae","Arctium lappa","ARCTLAPPA","ARCTLAPPA"
"63","Arenaria serpyllifolia","Arenaria serpyllifolia","Arenaria serpyllifolia L., 1753",83653,83653,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Arenaria serpyllifolia","ARENSERPYLL","ARENSERPYLL"
"64","Arisarum vulgare","Arisarum vulgare","Arisarum vulgare O.Targ.Tozz., 1810",83755,83755,"Angiospermes","Alismatales","Araceae","Aroideae","Arisareae","Arisarum vulgare","ARISVULGARE","ARISVULGARE"
