link;id_parcelle;code_parcelle;region;plante_reference;region_code;Azote.Dumas.g.kg;limons_grossiers;Capacite.d.Echange.Cationique..CEC..mEq.kg;Calcaire.actif..CaCO3....Methode.A.g.kg;argiles;Matieres.Organiques..Carbone.x.1.73..g.kg;Calcaire.total..CaCO3..g.kg;limons_fins;sables_fins;pH.eau.pH.units.No.unit;Capacite.d.Echange.Cationique..CEC..mEq.100.g;sables_grossiers;Carbone.organique.g.kg;Granulometrie...Pratique.de.la.decarbonatation.No.unit.No.unit;Cuivre..Cu..mg.kg;Phosphore.Olsen..P2O5..mg.kg;Cuivre.extractible.EDTA..Cu..mg.kg;Phosphore.Olsen..P2O5..g.kg;Calcaire.actif..CaCO3....Methode.B.g.kg
505-IF-095-01;505;IF-095-01;ILE-DE-FRANCE;Ble;IDF;1.25;309;120.4;Non mesure;170;20.92;4.2;175;197;8.3;12.04;145;12.09;oui;#N/A;149;#N/A;0.149;#N/A
468-IF-078-01;468;IF-078-01;ILE-DE-FRANCE;Ble;IDF;1.91;194;180.8;Non mesure;237;33.01;5.2;146;250;8.4;18.08;168;19.08;oui;#N/A;289;#N/A;0.289;#N/A
504-IF-095-02;504;IF-095-02;ILE-DE-FRANCE;Mais;IDF;1.93;180;198.3;Non mesure;279;32.80;18.7;143;292;8.7;19.83;87;18.96;oui;#N/A;257;#N/A;0.257;#N/A
144-IF-078-03;144;IF-078-03;ILE-DE-FRANCE;Mais;IDF;1.02;479;99.5;Non mesure;169;16.02;3.1;236;99;7.8;9.95;13;9.26;oui;#N/A;68;#N/A;0.068;#N/A
459-IF-078-02;459;IF-078-02;ILE-DE-FRANCE;Ble;IDF;1.83;160;198.3;53.8;266;29.88;143.8;115;143;8.4;19.83;172;17.27;oui;#N/A;109;#N/A;0.109;#N/A
516-IF-091-02;516;IF-091-02;ILE-DE-FRANCE;Ble;IDF;1.22;455;114.7;Non mesure;187;19.76;2.1;268;57;7.6;11.47;31;11.42;oui;#N/A;70;#N/A;0.070;#N/A
511-IF-095-03;511;IF-095-03;ILE-DE-FRANCE;Ble;IDF;1.23;486;119.2;Non mesure;209;19.13;7.3;233;57;8.1;11.92;8;11.06;oui;#N/A;138;#N/A;0.138;#N/A
512-IF-091-03;512;IF-091-03;ILE-DE-FRANCE;Mais;IDF;0.98;475;92.5;Non mesure;155;15.17;3.1;301;46;8.2;9.25;20;8.77;oui;#N/A;159;#N/A;0.159;#N/A
147-IF-091-01;147;IF-091-01;ILE-DE-FRANCE;Ble;IDF;1.69;371;177.3;Non mesure;256;27.04;18.7;289;25;8.6;17.73;40;15.63;oui;#N/A;50;#N/A;0.050;#N/A
284-PIC20;284;PIC 20;HAUTS-DE-FRANCE;Ble;HDF;1.48;427;88.9;Non mesure;123;23.37;2.1;325;90;7.7;8.89;33;13.51;oui;#N/A;64;#N/A;0.064;#N/A
