"","id_parcelle","N_tot","limons_grossiers","CEC_a","argiles","limons_fins","sables_fins","pH","CEC_b","sables_grossiers","C_orga","phosphore_mg_kg"
"1","505",1.25,309,120.4,170,175,197,8.3,12.04,145,12.09,149
"2","468",1.91,194,180.8,237,146,250,8.4,18.08,168,19.08,289
"3","504",1.93,180,198.3,279,143,292,8.7,19.83,87,18.96,257
"4","144",1.02,479,99.5,169,236,99,7.8,9.95,13,9.26,68
"5","459",1.83,160,198.3,266,115,143,8.4,19.83,172,17.27,109
"6","516",1.22,455,114.7,187,268,57,7.6,11.47,31,11.42,70
"7","511",1.23,486,119.2,209,233,57,8.1,11.92,8,11.06,138
"8","512",0.98,475,92.5,155,301,46,8.2,9.25,20,8.77,159
"9","147",1.69,371,177.3,256,289,25,8.6,17.73,40,15.63,50
"10","284",1.48,427,88.9,123,325,90,7.7,8.89,33,13.51,64
"11","412",1.1,286,85,120,148,408,7.6,8.5,35,9.61,107
"12","253",2.54,228,152.2,177,156,46,8.2,15.22,63,23.37,103
"13","532",1.72,463,122.3,198,271,53,6.9,12.23,12,15.33,37
"14","533",2.48,145,109.4,170,335,73,6.3,10.94,276,17.97,115
"15","359",1.1,49,78.6,122,76,286,8.4,7.86,339,11.31,53
"16","360",0.98,61,107.7,199,94,193,8.5,10.77,376,7.21,75
"17","367",1.04,65,101,163,99,228,8.5,10.1,315,10.06,41
"18","363",1.36,40,145.5,259,120,86,8.5,14.55,241,14.61,50
"19","361",1.79,60,164.3,290,144,147,8.2,16.43,306,17.57,227
"20","211",2.36,370,192.5,246,317,45,7.7,19.25,16,19.99,54
"21","472",1.11,97,104.3,150,123,285,7,10.43,342,15.36,73
"22","182",0.9,266,76.5,158,266,160,7.7,7.65,148,9.39,58
"23","479",1.63,9,127.7,213,24,6,8.3,12.77,5,16.86,88
"24","477",1.19,128,203,333,157,173,8.1,20.3,151,9.42,27
"25","481",1.24,279,83.2,179,276,176,6.7,8.32,91,12.12,21
"26","473",1.01,144,108.6,196,159,304,7.9,10.86,194,7.59,32
"27","545",2.23,167,132.5,127,153,173,8.1,13.25,374,21.73,172
"28","222",0.7,98,56.5,94,125,102,6.9,5.65,580,6.15,53
"29","310",1.58,223,130.9,240,344,150,5.8,13.09,43,13.28,47
"30","209",1.97,252,166,315,311,40,7.1,16.6,80,16.89,61
"31","237",0.88,114,54.6,79,174,97,7.5,5.46,532,11.63,99
"32","41",0.9,89,88.8,119,123,180,7.2,8.88,485,10.26,159
"33","100",1.8,499,133.2,153,270,41,8.1,13.32,28,16.85,143
"34","27",1.15,462,95.3,132,271,53,6.4,9.53,79,10.37,79
"35","97",1.6,314,182.2,242,211,25,8.2,18.22,19,14.13,44
"36","106",1.57,336,97.7,193,271,101,7.6,9.77,94,17.9,84
"37","188",1.37,405,126.3,195,302,35,7.1,12.63,60,12.14,21
"38","19",1.34,299,166,253,256,73,5.9,16.6,117,11.65,179
"39","28",1.19,446,114.6,190,318,23,6.5,11.46,19,10.69,102
"40","549",1.41,450,147.6,204,312,23,7.5,14.76,6,14.05,76
"41","427",2.42,387,163.7,198,297,68,7.6,16.37,47,21.65,69
