id_parcelle;clust
1;3
2;3
3;2
4;2
5;2
6;3
7;2
8;3
9;2
10;3
11;3
12;3
13;3
14;3
15;3
16;3
17;2
18;2
19;3
20;3
21;3
22;3
23;3
24;2
25;1
26;3
27;3
28;3
29;2
30;3
31;3
32;3
33;3
34;2
35;3
36;3
37;3
38;3
39;3
40;3
41;2
42;1
43;2
44;3
45;2
46;3
47;3
48;3
49;3
50;2
51;2
52;3
53;3
54;2
55;2
56;3
57;3
58;3
59;3
60;3
61;2
62;2
63;3
64;2
65;2
66;2
67;2
68;3
69;3
70;3
71;1
72;1
73;2
74;1
75;3
76;2
78;2
79;2
80;1
81;2
82;2
83;2
84;2
85;3
86;3
87;2
88;3
89;2
90;2
91;3
92;3
93;3
94;3
95;3
96;3
97;3
98;2
99;1
100;3
101;3
102;2
103;2
104;3
105;2
106;3
107;1
108;2
109;2
110;2
111;2
112;3
113;3
114;2
115;3
116;3
117;3
118;3
119;3
120;2
121;3
122;3
123;3
124;3
125;3
126;3
127;3
128;3
129;3
130;1
131;3
132;3
133;3
134;3
135;2
136;1
137;1
138;1
139;1
140;3
141;3
142;3
143;2
144;3
145;3
146;3
147;3
150;1
151;2
152;3
153;1
154;2
155;3
156;3
157;1
158;1
159;3
160;2
161;2
162;3
163;3
164;1
165;2
166;3
167;1
168;3
169;3
170;2
171;3
172;1
173;3
174;3
175;3
176;3
177;2
178;2
179;1
180;3
181;3
182;2
183;3
184;2
185;1
186;2
187;2
188;3
189;3
190;3
191;1
192;1
193;3
194;3
195;3
196;2
197;2
198;3
199;1
200;3
201;1
202;3
203;2
204;3
205;1
206;1
207;1
208;2
209;3
210;3
211;3
212;3
213;1
214;2
215;1
216;1
217;1
218;3
219;3
220;3
221;3
222;2
223;1
224;2
225;2
226;3
228;3
229;3
230;3
231;3
232;3
233;1
234;1
235;1
236;2
237;2
238;3
239;1
240;3
241;2
242;2
243;2
244;2
245;3
246;1
247;3
248;3
249;1
250;2
251;2
252;3
253;3
254;3
255;3
256;2
257;2
258;2
259;3
260;2
261;2
262;3
263;1
264;1
265;1
266;2
267;2
268;2
269;3
270;2
271;3
272;2
273;2
274;2
275;1
276;3
277;2
278;3
279;3
280;3
281;3
282;3
283;3
284;3
285;3
286;3
287;3
288;3
289;3
290;3
291;3
292;2
293;3
294;2
295;1
296;1
297;2
298;1
299;1
300;3
301;2
302;1
303;2
304;2
305;3
306;3
307;1
308;1
309;1
310;3
311;1
312;1
313;2
314;1
315;1
316;1
317;1
318;2
319;2
320;2
321;3
322;3
323;2
324;2
325;2
326;2
327;3
328;1
329;3
330;3
331;3
332;2
333;3
334;3
335;2
336;3
337;3
338;3
339;2
340;2
341;3
342;1
343;3
344;2
345;2
346;2
347;3
348;2
349;2
350;3
351;2
352;2
353;2
354;2
355;3
356;2
357;1
358;1
359;2
360;2
361;2
362;3
363;2
364;2
365;3
366;3
367;2
368;2
369;2
370;2
371;3
372;3
373;3
374;3
375;3
376;3
377;1
378;2
379;3
380;2
381;2
382;2
383;2
384;2
385;2
386;3
387;1
388;3
389;3
390;3
391;3
392;1
393;1
394;1
395;3
396;3
397;3
398;1
399;3
400;1
401;1
402;3
403;1
404;3
405;3
406;3
407;3
408;3
409;1
410;3
411;1
412;3
414;3
415;3
416;1
417;3
418;3
419;3
420;3
421;3
422;3
423;3
424;1
425;3
426;2
427;3
428;3
429;3
430;3
431;2
432;2
433;3
434;3
435;3
436;3
437;3
438;3
439;3
440;3
441;1
442;2
443;3
444;3
445;3
446;2
449;2
451;2
452;2
453;2
454;2
455;1
456;2
457;3
458;1
459;3
460;3
461;2
462;2
463;2
464;3
465;3
466;1
467;3
468;3
469;1
470;3
471;3
472;2
473;2
474;3
475;1
476;3
477;3
478;3
479;3
480;3
481;3
482;3
483;1
484;1
485;3
486;1
487;3
488;3
489;3
490;1
491;2
492;1
493;3
494;2
495;3
496;3
497;2
498;3
499;3
500;2
501;3
502;2
503;3
504;3
505;3
506;3
507;1
508;3
509;2
510;3
511;3
512;3
513;3
514;2
515;3
516;3
517;3
518;3
519;3
520;3
521;2
522;3
523;3
524;2
525;2
526;3
527;1
528;1
529;3
532;3
533;3
534;3
535;3
536;2
537;3
538;3
539;2
540;3
541;1
542;3
543;3
544;3
545;3
547;1
