"","id_parcelle","TypeCulture","region_biogeo","clust","code_postal","coord_x","coord_y"
"1",295,"GrandesCultures","MC","1",15130,2.51159131416,44.8321325885
"2",296,"GrandesCultures","MC","1",15120,2.53298525095,44.7893249986
"3",265,"GrandesCultures","MC","1",15220,2.31891941324,44.826388701
"4",486,"GrandesCultures","MC","1",15600,2.29000841401,44.715172865
"5",387,"GrandesCultures","MC","1",43320,3.72290621856,45.0291104127
"6",393,"GrandesCultures","MC","1",43370,3.81339821806,44.9793295755
"7",388,"GrandesCultures","MC","3",43320,3.72277142008,45.0434569694
"8",394,"GrandesCultures","MC","1",43300,3.63043160045,45.0998033773
"9",240,"GrandesCultures","MC","3",63360,3.17707039553,45.8322487521
"10",171,"GrandesCultures","MC","3",63160,3.3669182412,45.756790018
"11",254,"GrandesCultures","MC","3",63500,3.22179113478,45.4982127726
"12",168,"GrandesCultures","MC","3",63500,3.22099519643,45.4989832566
"13",7,"GrandesCultures","BRSJ","2",1600,4.80592213604,45.98893163
"14",266,"GrandesCultures","BRSJ","2",1600,4.83511564603,45.917289274
"15",52,"GrandesCultures","BRSJ","3",1390,4.91150398579,45.8918199666
"16",61,"GrandesCultures","BRSJ","2",1360,5.24213132051,45.794954107
"17",62,"GrandesCultures","BRSJ","2",1360,5.08323455302,45.8382874535
"18",274,"GrandesCultures","BRSJ","2",1120,5.01419414576,45.8132146108
"19",258,"GrandesCultures","BRSJ","2",69791,4.96850178643,45.6876426058
"20",276,"GrandesCultures","BRSJ","3",38270,5.05003714051,45.3323957853
"21",269,"GrandesCultures","BRSJ","3",26210,5.03594820044,45.3070636741
"22",60,"GrandesCultures","BRSJ","3",38260,5.17234184604,45.3790565744
"23",467,"GrandesCultures","BRSJ","3",38260,5.18160989019,45.4000911197
"24",278,"GrandesCultures","ZM","3",26300,5.07452665068,44.9575611709
"25",463,"GrandesCultures","ZM","2",26120,4.94794058244,44.9330733779
"26",261,"GrandesCultures","ZM","2",26760,4.96974563871,44.8637666788
