id_parcelle;clust
1;3
2;2
3;2
4;1
5;1
6;2
7;2
8;1
9;1
10;3
11;3
12;1
13;3
14;3
15;2
16;2
17;1
18;1
19;3
20;2
21;3
22;2
23;3
24;2
25;3
26;3
27;3
28;3
29;2
30;3
31;3
32;3
33;2
34;1
35;3
36;2
37;3
38;3
39;2
40;3
41;1
42;1
43;2
44;2
45;1
46;2
47;2
48;2
49;2
50;1
51;2
52;3
53;2
54;1
55;1
56;2
57;2
58;2
59;3
60;2
61;2
62;1
63;2
64;2
65;2
66;1
67;3
68;3
69;2
70;2
71;3
72;1
73;2
74;2
75;3
76;2
78;2
79;2
80;2
81;2
82;2
83;2
84;2
85;2
86;3
87;2
88;2
89;3
90;1
91;3
92;2
93;2
94;3
95;3
96;3
97;3
98;1
99;1
100;3
101;2
102;3
103;1
104;2
105;1
106;3
107;3
108;2
109;2
110;2
111;1
112;2
113;2
114;2
115;3
116;3
117;2
118;2
119;2
120;1
121;3
122;2
123;3
124;3
125;2
126;3
127;3
128;2
129;3
130;3
131;3
132;1
133;3
134;3
135;3
136;2
137;2
138;2
139;1
140;3
141;3
142;1
143;1
144;3
145;2
146;2
147;3
150;2
151;1
152;2
153;3
154;3
155;3
156;3
157;2
158;1
159;3
160;1
161;2
162;2
163;3
164;1
165;3
166;3
167;2
168;2
169;3
170;1
171;2
172;3
173;2
174;2
175;3
176;1
177;1
178;1
179;2
180;2
181;2
182;3
183;3
184;1
185;1
186;1
187;1
188;3
189;3
190;3
191;2
192;2
193;3
194;1
195;3
196;1
197;1
198;2
199;3
200;3
201;3
202;2
203;2
204;2
205;3
206;2
207;3
208;2
209;3
210;2
211;3
212;3
213;3
214;1
215;2
216;3
217;2
218;3
219;3
220;3
221;2
222;1
223;2
224;2
225;2
226;3
228;3
229;2
230;2
231;3
232;3
233;2
234;2
235;3
236;1
237;1
238;1
239;2
240;2
241;3
242;1
243;1
244;1
245;2
246;2
247;2
248;2
249;3
250;1
251;1
252;3
253;2
254;2
255;2
256;1
257;2
258;3
259;2
260;2
261;2
262;2
263;3
264;3
265;1
266;3
267;1
268;2
269;3
270;1
271;2
272;2
273;1
274;1
275;2
276;2
277;1
278;2
279;3
280;2
281;2
282;2
283;1
284;3
285;3
286;3
287;2
288;3
289;3
290;1
291;3
292;2
293;2
294;1
295;2
296;1
297;1
298;2
299;2
300;2
301;2
302;3
303;2
304;1
305;2
306;1
307;1
308;3
309;1
310;3
311;3
312;2
313;2
314;2
315;1
316;1
317;1
318;1
319;1
320;1
321;3
322;2
323;3
324;3
325;1
326;2
327;2
328;2
329;2
330;3
331;3
332;1
333;3
334;2
335;2
336;2
337;3
338;2
339;1
340;1
341;3
342;2
343;2
344;1
345;2
346;1
347;3
348;1
349;1
350;3
351;3
352;1
353;1
354;1
355;2
356;2
357;3
358;3
359;1
360;1
361;1
362;2
363;2
364;1
365;2
366;3
367;1
368;2
369;2
370;2
371;3
372;3
373;3
374;1
375;3
376;2
377;3
378;1
379;2
380;1
381;2
382;2
383;3
384;3
385;1
386;3
387;2
388;3
389;3
390;3
391;3
392;3
393;2
394;2
395;3
396;2
397;3
398;3
399;3
400;3
401;3
402;2
403;2
404;2
405;3
406;3
407;3
408;1
409;3
410;3
411;3
412;1
414;3
415;2
416;2
417;3
418;3
419;3
420;2
421;3
422;3
423;2
424;2
425;3
426;1
427;3
428;3
429;3
430;3
431;1
432;1
433;3
434;2
435;3
436;2
437;2
438;3
439;2
440;2
441;3
442;1
443;3
444;3
445;3
446;2
449;2
451;2
452;2
453;2
454;1
455;3
456;1
457;3
458;2
459;2
460;3
461;2
462;1
463;1
464;3
465;3
466;2
467;1
468;2
469;3
470;3
471;3
472;1
473;1
474;3
475;3
476;2
477;2
478;3
479;2
480;3
481;3
482;3
483;2
484;2
485;2
486;2
487;2
488;2
489;2
490;2
491;1
492;3
493;2
494;1
495;2
496;3
497;2
498;2
499;3
500;3
501;2
502;3
503;2
504;2
505;3
506;2
507;3
508;2
509;1
510;2
511;3
512;3
513;3
514;1
515;3
516;3
517;3
518;3
519;3
520;2
521;3
522;2
523;3
524;2
525;2
526;2
527;3
528;3
529;3
532;3
533;2
534;3
535;3
536;1
537;3
538;3
539;2
540;2
541;3
542;1
543;2
544;2
545;1
547;3
