"","id_parc_an","id_parcelle","annee","forbs_100","graminoid_100","annual_100","perennial_100","indigenous_100","neophytes_100","rich_sp","shannon","invsimp","simpson","nat_val_100","agrotolerant_100","messicole_100","not_messicole_100","seed_prone_100","other_seeds_100","weeds_100","not_weeds_100"
"1","12ENICA08001_2013",520,2013,65,35,55,45,100,0,11,0.610529890136207,1.53148065768968,0.347037133653025,30,70,0,100,37.5,62.5,60,40
"2","12ENICA08001_2014",520,2014,41.1764705882353,58.8235294117647,58.8235294117647,41.1764705882353,100,0,4,0.548707733596344,1.50404079741237,0.335124418353246,0,100,0,100,58.8235294117647,41.1764705882353,0,100
"3","12ENICA08001_2015",520,2015,50,50,75,25,100,0,6,0.558676105527918,1.50736140490717,0.336589090881239,15,85,10,90,50,50,15,85
"4","12ENICA08001_2016",520,2016,73.6842105263158,26.3157894736842,78.9473684210526,21.0526315789474,100,0,13,0.650475398896745,1.55099508541414,0.355252631420825,14.0350877192982,85.9649122807018,5.26315789473684,94.7368421052632,36.8421052631579,63.1578947368421,49.1228070175439,50.8771929824561
"5","12ENICA08001_2017",520,2017,50,50,40.4761904761905,59.5238095238095,100,0,12,0.613148936879468,1.53289191210448,0.347638282840751,35.7142857142857,64.2857142857143,0,100,57.1428571428571,42.8571428571429,11.9047619047619,88.0952380952381
"6","12ENICA08001_2018",520,2018,56.6666666666667,43.3333333333333,53.3333333333333,46.6666666666667,96.6666666666667,3.33333333333333,15,0.658738171438513,1.55408319599037,0.356533805538814,21.6666666666667,78.3333333333333,8.33333333333333,91.6666666666667,51.6666666666667,48.3333333333333,40,60
"7","12ENICA08002_2013",235,2013,60,40,29.3333333333333,70.6666666666667,100,0,23,0.557733510774572,1.31367893122327,0.238778992163006,72,28,4,96,42.6666666666667,57.3333333333333,41.3333333333333,58.6666666666667
"8","12ENICA08002_2014",235,2014,46.1538461538462,53.8461538461538,67.6923076923077,32.3076923076923,89.2307692307692,10.7692307692308,20,0.528491968771257,1.30226058364159,0.232104532256028,41.5384615384615,58.4615384615385,4.61538461538462,95.3846153846154,56.9230769230769,43.0769230769231,46.1538461538462,53.8461538461538
"9","12ENICA08002_2015",235,2015,22.2222222222222,77.7777777777778,83.3333333333333,16.6666666666667,100,0,10,0.440673975059492,1.26973215526617,0.21243232609922,36.1111111111111,63.8888888888889,11.1111111111111,88.8888888888889,77.7777777777778,22.2222222222222,61.1111111111111,38.8888888888889
"10","12ENICA08002_2016",235,2016,56.5217391304348,43.4782608695652,21.7391304347826,78.2608695652174,100,0,14,0.473212846395951,1.28072619833333,0.219192984963257,73.9130434782609,26.0869565217391,0,100,43.4782608695652,56.5217391304348,43.4782608695652,56.5217391304348
"11","12ENICA08002_2017",235,2017,23.3333333333333,76.6666666666667,46.6666666666667,53.3333333333333,100,0,12,0.426563324148594,1.26283722994323,0.20813231009593,74.0740740740741,25.9259259259259,0,100,76.6666666666667,23.3333333333333,43.3333333333333,56.6666666666667
"12","12ENICA08002_2018",235,2018,31.1111111111111,68.8888888888889,44.4444444444444,55.5555555555556,100,0,25,0.591376538122886,1.32980561068505,0.248010391921232,55.5555555555556,44.4444444444444,3.33333333333333,96.6666666666667,72.2222222222222,27.7777777777778,57.7777777777778,42.2222222222222
"13","12ENICA08003_2013",49,2013,73.3333333333333,26.6666666666667,28.8888888888889,71.1111111111111,100,0,8,0.248585891086008,1.09481322116517,0.0866021886950384,55.5555555555556,44.4444444444444,0,100,48.8888888888889,51.1111111111111,44.4444444444444,55.5555555555556
