region;code_parcelle;ID_Parcelle;plante_reference;commune;code_postal;code_insee;parcelle_active;nom_parcelle;lieu_dit;climat;typo_pays_principale;bassin_prod__principal;typo_pays_secondaire;bassin_prod__secondaire;topographie;altitude;pourcent_pente;surface;plan_eau;exposition;orientation_vent;enclave;corridor;drain;commentaire_parcelle;orientation_rang_vigne;annee_plantation_vigne;ecart_rang_vigne;precedent_cultural_vigne;desifection_vigne;fumigation_vigne;devitalisation_cep_vigne;arrachage_avec_defonc_vigne;arrachage_sans_defonc_vigne;apport_fumure_vigne;nature_fumure_vigne;tonnage_vigne;fractionnement_vigne;commentaire_vigne;derniere_modif_parcelle_par;derniere_modif_parcelle_le;derniere_modif_donnees_agro_par;derniere_modif_donnees_agro_le;derniere_modif_pratiques_par;derniere_modif_pratiques_le;ID;NOM;NOM_M;INSEE_COM;SAU_2020;SAU_BIO_20;IFT_H0;IFT_T0;IFT_T_hbc0;IFT_T_HH0;cod_c_maj;cod_c_hbc;cod_c_h;c_maj;c_ift_h;c_ift_hbc;p_bio_0;p_bc_0;IFT_T;IFT_T_hbc;IFT_H;IFT_T_HH;IFT_HHhbc;IFTbc;p_bio;p_bc;p_sau
HAUTS-DE-FRANCE;PIC 08;433;Ble;ABBECOURT;60430;60002;t;Les Moyers;;OcÃ©anique;Open field;Zone de grandes cultures;BÃ¢tis, milieu rural;Zone de grandes cultures;Plaine;58;;10.97;f;Plein soleil;Ouest;f;f;f;;;;;;;;;;;;;;;;Vincent DUVAL;23/03/2021;Alexis BLIOT;13/01/2023;Alexis BLIOT;23/01/2023;COMMUNE_0000000009732129;Abbecourt;ABBECOURT;60002;521.39;24.7;1.53;4.28;4.27;2.75;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;5;0;4.28;4.27;1.53;2.75;2.74;0.01;5;0;70
HAUTS-DE-FRANCE;PIC 32;537;Ble;ACHY;60690;60004;t;PIC 32;;Semi-ocÃ©anique Ã  semi-continental;Paysage mixte;Zone de grandes cultures;BÃ¢tis, milieu rural;Zone de grandes cultures;Plateau;;1 Ã  2%;5.40;f;Plein soleil;Est;f;t;f;;;;;;;;;;;;;;;;Vincent DUVAL;25/03/2021;Audrey WARIN;29/04/2020;Audrey WARIN;22/10/2020;COMMUNE_0000000009731066;Achy;ACHY;60004;668.82;0;1.53;4.43;4.42;2.9;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;0;0;4.43;4.42;1.53;2.9;2.89;0.01;0;0;52
HAUTS-DE-FRANCE;PIC 33;538;Ble;ACHY;60690;60004;t;PIC 33;;Semi-ocÃ©anique Ã  semi-continental;Paysage mixte;Zone de grandes cultures;BÃ¢tis, milieu rural;Zone de grandes cultures;Plateau;140;;6.50;f;Plein soleil;Est;f;t;f;;;;;;;;;;;;;;;;Vincent DUVAL;25/03/2021;Audrey WARIN;29/04/2020;Audrey WARIN;22/10/2020;COMMUNE_0000000009731066;Achy;ACHY;60004;668.82;0;1.53;4.43;4.42;2.9;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;0;0;4.43;4.42;1.53;2.9;2.89;0.01;0;0;52
NOUVELLE-AQUITAINE;PCB5;70;Ble;AIFFRES;79230;79003;t;EARL AUMONIER;La Ponerie;OcÃ©anique Ã  semi ocÃ©anique sud;Open field;Zone de grandes cultures;Information inconnue;Zone de grandes cultures;Plaine;22;Nulle;9.71;f;Plein soleil;Information inconnue;f;f;f;;;;;;;;;;;;;;;;Nathalie DASTE;07/06/2021;CÃ©lia PETITCOLLIN;14/06/2022;CÃ©lia PETITCOLLIN;14/06/2022;COMMUNE_0000000009749899;Aiffres;AIFFRES;79003;1956.8;323.56;1.22;2.95;2.92;1.73;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;17;1;2.95;2.92;1.22;1.73;1.7;0.03;17;1;75
HAUTS-DE-FRANCE;PIC 12;198;Ble;AIRION;60600;60008;t;PIC - 12;LycÃ©e Agricole ;Semi-ocÃ©anique Ã  semi-continental;Paysage mixte;Zone de grandes cultures;Paysage mixte;Zone de grandes cultures;Plateau;99;Nulle;2.86;f;Plein soleil;Nord-Ouest;f;f;f;;;;;;;;;;;;;;;;Vincent DUVAL;25/03/2021;Audrey WARIN;29/04/2020;Inma TINOCO;31/08/2022;COMMUNE_0000000009731736;Airion;AIRION;60008;472.77;17.26;1.52;4.24;4.23;2.71;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;4;0;4.24;4.23;1.52;2.71;2.71;0.01;4;0;69
HAUTS-DE-FRANCE;PIC 19;200;Ble;AIRION;60600;60008;t;PIC - 19;LycÃ©e Agricole ;Semi-ocÃ©anique Ã  semi-continental;Paysage mixte;Zone de grandes cultures;Paysage mixte;Zone de grandes cultures;Plateau;70;1 Ã  2%;4.21;f;Plein soleil;Nord-Ouest;f;f;f;;;;;;;;;;;;;;;;Vincent DUVAL;25/03/2021;Audrey WARIN;29/04/2020;Inma TINOCO;31/08/2022;COMMUNE_0000000009731736;Airion;AIRION;60008;472.77;17.26;1.52;4.24;4.23;2.71;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;4;0;4.24;4.23;1.52;2.71;2.71;0.01;4;0;69
OCCITANIE;LR_V_11_1;196;Vigne;ALAIGNE;11240;11004;t;Cazes;Cazes;MÃ©diterranÃ©en, zone de l'olivier;Paysage mixte;Bassin viticole;;Bassin viticole;Plaine;290;10 Ã  20 %;0.50;f;Plein soleil;Nord-Ouest;f;t;f;;Dans le sens de la pente ;1998;3.00;Autre Culture;Information inconnue;f;f;t;f;f;;0.0;0.0;;Camila ANDRADE;05/06/2019;Nicolas ANDRE;05/01/2023;Nicolas ANDRE;05/01/2023;COMMUNE_0000000009762116;Alaigne;ALAIGNE;11004;943.14;81.31;0.79;5.51;5.07;4.72;vigne;vigne;TRN;Vigne;Tournesol;Vigne;9;8;5.51;5.07;0.79;4.72;4.28;0.44;9;8;66
OCCITANIE;LR_V_11_2;197;Vigne;ALAIGNE;11240;11004;t;Cazes;Cazes;MÃ©diterranÃ©en, zone de l'olivier;Paysage mixte;Bassin viticole;;Bassin viticole;Plaine;279;5 Ã  10 %;1.10;f;Plein soleil;Nord-Ouest;f;t;f;;Dans le sens de la pente ;1993;3.00;;;f;f;t;f;f;;0.0;0.0;;Camila ANDRADE;05/06/2019;Nicolas ANDRE;05/01/2023;Nicolas ANDRE;05/01/2023;COMMUNE_0000000009762116;Alaigne;ALAIGNE;11004;943.14;81.31;0.79;5.51;5.07;4.72;vigne;vigne;TRN;Vigne;Tournesol;Vigne;9;8;5.51;5.07;0.79;4.72;4.28;0.44;9;8;66
NOUVELLE-AQUITAINE;PCM10;122;Mais;ANGOULINS;17690;17010;t;L'Isleau;rue des champs;OcÃ©anique Ã  semi ocÃ©anique sud;Open field;Zone de grandes cultures;Information inconnue;Zone de grandes cultures;Plaine;8;Nulle;15.76;f;Plein soleil;Ouest;f;f;f;;;;;;;;;;;;;;;;Nathalie DASTE;13/06/2021;CÃ©lia PETITCOLLIN;05/04/2023;CÃ©lia PETITCOLLIN;05/04/2023;COMMUNE_0000000009750408;Angoulins;ANGOULINS;17010;336.02;74.97;0.88;1.96;1.94;1.08;BTH;BTH;MIS;Blé tendre d’hiver;Maïs;Blé tendre d’hiver;22;1;1.96;1.94;0.88;1.08;1.05;0.02;22;1;42
AUVERGNE-RHÃ”NE-ALPES;RA_V06;273;Vigne;APREMONT;73190;73017;t;Raymond;La Grande Vigne;Semi-continental sud;Zone de montagne;Bassin viticole;Paysage mixte;Bassin viticole;Haut de coteau;400;10 Ã  20 %;2.38;f;Plein soleil;Nord-Ouest;f;t;f;;Dans le sens de la pente ;1950;1.50;;;f;f;f;f;f;;0.0;0.0;;Camille BAGNIS;11/07/2022;Camille BAGNIS;11/06/2023;Camille BAGNIS;11/06/2023;COMMUNE_0000000009752744;Apremont;APREMONT;73017;357.85;46.11;0.36;9.05;7.52;8.69;vigne;vigne;SOJ;Vigne;Soja;Vigne;13;17;9.05;7.52;0.36;8.69;7.16;1.53;13;17;20
NOUVELLE-AQUITAINE;PCB10;12;Ble;ARCHIGNY;86210;86009;t;LES FLAMMES;LES FLAMMES;OcÃ©anique Ã  semi ocÃ©anique sud;Bocage Ã  dominante polyculture Ã©levage;Zone de grandes cultures;Information inconnue;Zone de grandes cultures;Plaine;135;1 Ã  2%;2.70;f;Plein soleil;Nord-Est;f;f;f;;;;;;;;;;;;;;;;Nathalie DASTE;07/06/2021;AurÃ©lie DELMAS;15/11/2022;CÃ©lia PETITCOLLIN;05/04/2023;COMMUNE_0000000009748387;Archigny;ARCHIGNY;86009;5196.17;706.91;1.02;2.46;2.43;1.44;BTH;BTH;BTH;Blé tendre d’hiver;Blé tendre d’hiver;Blé tendre d’hiver;14;1;2.46;2.43;1.02;1.44;1.41;0.02;14;1;78
